Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808504528,ROELOFSEN SEED SALES INC,833408042,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347544,190794536578,00190794536578,C.DK.DKC44-97RIB.SCR.AF2.80M.E7.US,H35XPV4JX,56,56,"2,884.000",8H53,27/04/2023,04/05/2023,27/04/2023,C
808043601,MOORETON CHEMICAL LLC,832978200,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348109,190794537087,00190794537087,C.DK.DKC44-98RIB.SCS.AF.50USP.F7.US,H21XHN9JX,200,4,"7,800.000",8H3T,16/11/2022,15/11/2022,07/11/2022,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,88348109,190794537087,00190794537087,C.DK.DKC44-98RIB.SCS.AF.50USP.F7.US,H21XMW9JX,100,2,"3,750.000",8H3T,28/12/2022,28/12/2022,08/12/2022,C
808334503,MOORETON CHEMICAL LLC,833295635,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348060,190794537049,00190794537049,C.DK.DKC44-98RIB.SCS.AF.80M.F7.US,H35XNW4JX,36,36,"1,386.000",8H3T,16/03/2023,16/03/2023,08/03/2023,C
808018249,MOORETON CHEMICAL LLC,832951567,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348117,190794537094,00190794537094,C.DK.DKC44-98RIB.SCS.AF2.50USP.F7.US,H21XAC9JX,150,3,"7,350.000",8H3T,04/11/2022,03/11/2022,25/10/2022,C
808025961,MOORETON CHEMICAL LLC,832953016,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348117,190794537094,00190794537094,C.DK.DKC44-98RIB.SCS.AF2.50USP.F7.US,H21XAC9JX,100,2,"4,900.000",8H3T,04/11/2022,04/11/2022,27/10/2022,C
808026990,MOORETON CHEMICAL LLC,832957285,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348117,190794537094,00190794537094,C.DK.DKC44-98RIB.SCS.AF2.50USP.F7.US,H21XAC9JX,200,4,"9,800.000",8H3T,07/11/2022,07/11/2022,28/10/2022,C
808043601,MOORETON CHEMICAL LLC,832978200,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348117,190794537094,00190794537094,C.DK.DKC44-98RIB.SCS.AF2.50USP.F7.US,H21XAC9JX,50,1,"2,450.000",8H3T,16/11/2022,15/11/2022,07/11/2022,C
808075640,ROELOFSEN SEED SALES INC,833006391,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88348117,190794537094,00190794537094,C.DK.DKC44-98RIB.SCS.AF2.50USP.F7.US,,0,0,0.000,8H53,02/12/2022,02/12/2022,21/11/2022,C
808075640,ROELOFSEN SEED SALES INC,833006391,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88348117,190794537094,00190794537094,C.DK.DKC44-98RIB.SCS.AF2.50USP.F7.US,H38XLA9JX,50,1,"2,325.000",8H53,02/12/2022,02/12/2022,01/12/2022,C
