Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808351154,DEWILDE SEEDS,833321780,9201245,DEWILDE SEEDS,RUTHTON,9201245,89221943,190794831086,00190794831086,C.DK.DKC40-64RIB.SCR.AR.80M.E7.US,H59XTK3JX,11,11,502.700,8H53,28/03/2023,29/03/2023,14/03/2023,C
808275113,MOORETON CHEMICAL LLC,833244533,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347889,190794536882,00190794536882,C.DK.DKC40-99RIB.SDH.AF.80M.F7.US,H35XPM7JX,30,30,"1,185.000",8H3T,24/02/2023,24/02/2023,16/02/2023,C
808222398,MOORETON CHEMICAL LLC,833186362,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347935,190794536936,00190794536936,C.DK.DKC40-99RIB.SDH.AF2.50USP.F7.US,H35XWJ4JX,100,2,"4,850.000",8H3T,08/02/2023,08/02/2023,30/01/2023,C
808275113,MOORETON CHEMICAL LLC,833244533,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88347935,190794536936,00190794536936,C.DK.DKC40-99RIB.SDH.AF2.50USP.F7.US,H35XWJ4JX,100,2,"4,850.000",8H3T,24/02/2023,24/02/2023,16/02/2023,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,89446066,190794882538,00190794882538,C.DK.DKC41-55RIB.SCS.AF2.45USP.F7.US,H18XY49JX,45,1,"2,767.500",8H3T,28/12/2022,28/12/2022,08/12/2022,C
808144831,ROELOFSEN SEED SALES INC,833095510,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89446066,190794882538,00190794882538,C.DK.DKC41-55RIB.SCS.AF2.45USP.F7.US,H18XY49JX,45,1,"2,767.500",8H53,11/01/2023,11/01/2023,22/12/2022,C
808325406,ROELOFSEN SEED SALES INC,833287382,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89446066,190794882538,00190794882538,C.DK.DKC41-55RIB.SCS.AF2.45USP.F7.US,H18XCC9JX,45,1,"2,520.000",8H53,13/03/2023,10/03/2023,06/03/2023,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,89222028,190794831147,00190794831147,C.DK.DKC41-55RIB.SCS.AF2.80M.F7.US,H18XJE4JX,66,66,"3,696.000",8H3T,28/12/2022,28/12/2022,08/12/2022,C
808144831,ROELOFSEN SEED SALES INC,833095510,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89222028,190794831147,00190794831147,C.DK.DKC41-55RIB.SCS.AF2.80M.F7.US,H18XJE4JX,66,66,"3,696.000",8H53,11/01/2023,11/01/2023,22/12/2022,C
808325406,ROELOFSEN SEED SALES INC,833287382,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89222028,190794831147,00190794831147,C.DK.DKC41-55RIB.SCS.AF2.80M.F7.US,H18XYA3JX,64,64,"3,680.000",8H53,13/03/2023,10/03/2023,06/03/2023,C
